web_name,minutes,total_points,selected_by_percent
Krul,90.0,0.8,2.2
Heaton,90.0,1.2,5.3
Patrício,90.0,1.8,11.1
Martin,90.0,2.0,1.9
de Gea,90.0,2.0,13.0
