web_name,minutes,total_points,selected_by_percent
McTominay,60.0,1.3333333333333333,2.4
Douglas Luiz,70.66666666666667,1.6666666666666667,3.7999999999999994
Fraser,59.333333333333336,1.6666666666666667,3.0
Kanté,69.0,1.6666666666666667,4.7
McGinn,90.0,1.6666666666666667,9.1
Sigurdsson,90.0,1.6666666666666667,2.7999999999999994
Willian,62.333333333333336,1.6666666666666667,2.1
Ndidi,90.0,2.0,2.7999999999999994
Pulisic,88.33333333333333,2.0,13.300000000000002
Felipe Anderson,76.33333333333333,2.3333333333333335,3.1
Hayden,90.0,2.3333333333333335,3.9
Neves,90.0,2.3333333333333335,5.3
Tielemans,82.66666666666667,2.3333333333333335,8.9
Traoré,89.33333333333333,2.3333333333333335,4.6
Milivojevic,90.0,2.6666666666666665,2.5
Bernardo Silva,58.333333333333336,3.0,10.1
James (MUN),90.0,3.0,10.6
Stephens (BHA),90.0,3.0,2.3
Mount,90.0,3.3333333333333335,27.2
Wijnaldum,60.0,3.3333333333333335,2.7999999999999994
