web_name,total_points,minutes,games
Fabianski,6.333333333333333,90.0,3.0
Ramsdale,6.0,90.0,3.0
Pope,5.75,90.0,8.0
Guaita,5.5,90.0,6.0
Ryan,5.428571428571429,90.0,7.0
Foster,5.0,90.0,5.0
Martin,5.0,90.0,1.0
Patrício,5.0,90.0,5.0
Henderson (SHU),4.857142857142857,90.0,7.0
Heaton,4.5,90.0,6.0
