GA,GF,GW,opponent,opponent_name,team,team_name,was_home,pts_won,pts_total,rating,rating_standardized,binned_rating
20,14,12,5,BUR,19,WHU,0,0,13,7,-0.5353037892521759,2
15,16,12,2,AVL,20,WOL,1,3,16,17,0.03416832697354323,4
19,18,13,16,SOU,1,ARS,1,1,18,17,-0.04275794102067079,3
20,19,13,13,NEW,2,AVL,1,3,14,13,-0.2565476461240246,3
17,16,13,20,WOL,3,BOU,1,0,16,15,-0.14965279357234768,3
19,15,13,9,LEI,4,BHA,1,0,15,11,-0.3634424986757015,3
18,20,13,18,WAT,5,BUR,0,3,18,20,0.11758433780684455,4
19,28,13,11,MCI,6,CHE,0,0,26,35,0.9192957319444213,5
18,11,13,10,LIV,7,CRY,1,0,15,8,-0.5237847775032168,2
20,13,13,14,NOR,8,EVE,1,0,14,7,-0.5772322037790553,2
8,31,13,4,BHA,9,LEI,0,3,29,52,1.827901978633675,6
11,30,13,7,CRY,10,LIV,0,3,37,56,2.041691683737029,6
14,37,13,6,CHE,11,MCI,1,3,28,51,1.7744545523578366,6
15,19,13,15,SHU,12,MUN,0,1,17,21,0.171031764082683,4
20,11,13,2,AVL,13,NEW,0,0,15,6,-0.6306796300548937,2
28,13,13,8,EVE,14,NOR,0,3,10,-5,-1.2186013190891167,1
12,16,13,12,MUN,15,SHU,1,1,18,22,0.22447919035852143,4
31,13,13,1,ARS,16,SOU,0,1,9,-9,-1.4323910241924704,1
19,21,13,19,WHU,17,TOT,0,3,17,19,0.06413691153100609,4
26,8,13,5,BUR,18,WAT,1,0,8,-10,-1.4858384504683089,1
23,16,13,17,TOT,19,WHU,1,0,13,6,-0.6306796300548937,2
16,18,13,3,BOU,20,WOL,0,3,19,21,0.171031764082683,4
21,20,14,14,NOR,1,ARS,0,1,19,18,-0.05738333483503181,3
22,21,14,12,MUN,2,AVL,0,1,15,14,-0.2660500069624199,3
20,18,14,17,TOT,3,BOU,0,0,16,14,-0.2660500069624199,3
21,16,14,10,LIV,4,BHA,0,0,15,10,-0.474716679089808,3
