web_name,total_points,minutes,games
Pukki,9.333333333333334,87.33333333333333,3.0
Rashford,9.0,88.25,4.0
Calvert-Lewin,7.5,82.66666666666667,6.0
Jiménez,6.0,90.0,2.0
Kane,5.666666666666667,90.0,3.0
Chicharito,4.5,53.0,2.0
Ings,4.5,63.5,6.0
Agüero,3.3333333333333335,70.33333333333333,3.0
Aubameyang,3.0,90.0,3.0
Ayew,3.0,79.33333333333333,6.0
Callum Wilson,3.0,72.83333333333333,6.0
Deulofeu,2.6,75.4,5.0
Barnes (BUR),2.5,63.75,4.0
Rodriguez,2.2,49.8,5.0
Deeney,2.0,83.33333333333333,3.0
