web_name,total_points,minutes,games
Martin,10.0,90.0,1.0
Lloris,9.0,90.0,2.0
Patrício,5.285714285714286,90.0,7.0
Henderson (SHU),4.25,90.0,4.0
Alisson,4.0,90.0,2.0
Hennessey,4.0,90.0,1.0
Dubravka,3.2857142857142856,90.0,7.0
Gazzaniga,3.25,90.0,4.0
Fabianski,3.0,90.0,6.0
McCarthy (SOU),3.0,90.0,4.0
